Time,Time Code,Country Name,Country Code,"GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]",Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS],"Population, total [SP.POP.TOTL]",Urban population (% of total) [SP.URB.TOTL.IN.ZS],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Lifetime risk of maternal death (%) [SH.MMR.RISK.ZS],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]"
2010,YR2010,Mauritania,MRT,3316.97478042488,..,48.7646837420208,3609543,56.682,61.9513658536585,3.51796686905004,97.4
2010,YR2010,Mauritius,MUS,15938.4192089782,..,0.00683374042283496,1250400,40.579,72.9673170731707,0.0930451778368066,15
2010,YR2010,Mexico,MEX,15534.9456319503,93.06894,4.85468095108734,117318941,77.825,76.0338536585366,0.115998784343087,17.3
2010,YR2010,"Micronesia, Fed. Sts.",FSM,3297.65693360804,..,0.0275354181258015,103616,22.298,68.5505609756098,0.387188724379149,40
2010,YR2010,Moldova,MDA,3910.86053324527,..,0.109995411729961,3562045,44.886,69.5106585365854,0.0464124310489103,17.2
2010,YR2010,Monaco,MCO,..,..,0,37094,100,..,..,4
2010,YR2010,Mongolia,MNG,7708.59999413593,98.257,38.611251712621,2712650,67.567,67.4455609756098,0.172413737638596,26.1
2010,YR2010,Montenegro,MNE,14034.5076558934,..,1.03128015237844,619428,63.096,75.2035365853659,0.0143648405251169,6.8
2010,YR2010,Morocco,MAR,6443.25361319481,..,2.71107381368626,32409639,57.684,73.9410731707317,0.39677231309049,33.5
2010,YR2010,Mozambique,MOZ,917.763832040531,..,9.86424652270358,24221405,30.955,54.601756097561,3.3441427840629,100.8
2010,YR2010,Myanmar,MMR,3721.21144009279,..,4.94123949053922,50155896,31.405,65.1041707317073,0.493720290369707,64.4
2010,YR2010,Namibia,NAM,8460.84736812378,..,2.89865195836173,2173170,41.616,58.0746097560976,1.19213606432239,56
